,Date,Price,Deviation,Moving Average,Moving Standard Deviation,Moving Deviation,Moving Variation Coefficient
10460,2022-06-08,148.4587923271567,-3.1574699540075937,140.7717938220389,5.705141918292676,5.460609896635658,1.0
10461,2022-06-09,145.03853060108233,-5.388572563562666,140.3671891361197,5.602921959344844,3.3279440114973378,0.6
10462,2022-06-10,138.7173109031466,-9.512025940279115,140.1581457976667,5.601669205784575,-1.028006532420951,-0.2
10463,2022-06-13,133.1350645809663,-13.153432748900908,140.16280557437233,5.600676429804467,-5.013984248251242,-0.9
10464,2022-06-14,132.500943265584,-13.56708229821413,140.36069761880015,5.570331652977312,-5.599683163845573,-1.0
10465,2022-06-15,134.5630922456549,-12.221902794653676,140.50915855906982,5.626627155085132,-4.23179981603491,-0.8
10466,2022-06-16,130.5336831338519,-14.850363978127806,140.72968569831067,5.712925002295479,-7.245097232943777,-1.3
10467,2022-06-17,131.26266409838024,-14.374835652363705,140.900947665178,5.763077888006326,-6.8404675245344295,-1.2
10468,2022-06-21,135.00248433568456,-11.935278870171674,141.101003220049,5.85374303755575,-4.322094630931654,-0.7
10469,2022-06-22,135.64658220955647,-11.515121419573912,140.99498376980878,5.766397386104182,-3.7933275477262507,-0.7
10470,2022-06-23,136.91980674553093,-10.684572528210966,140.9067725930022,5.666312283690038,-2.8295061863259634,-0.5
10471,2022-06-24,140.64463873859285,-8.254792866461777,140.90078127324836,5.6569976746783635,-0.1817892933884969,-0.0
10472,2022-06-27,142.03271000028764,-7.349327243580869,140.9031111774165,5.660401431031983,0.8016847984632675,0.1
10473,2022-06-28,140.17529522657532,-8.560954680470653,140.99814564091946,5.7719712849040965,-0.5835895292124635,-0.1
10474,2022-06-29,138.47764446676007,-9.668364973508153,141.1749001669544,6.022993097322224,-1.9105773738848237,-0.3
10475,2022-06-30,135.8812498567974,-11.362043192797875,141.41473406486205,6.369328960211166,-3.9129474341242387,-0.6
10476,2022-07-01,137.15947167730846,-10.528234476467365,141.62044794737403,6.6959654872668235,-3.1499520971175468,-0.5
10477,2022-07-05,139.07680786795618,-9.27751914502448,141.90072536013798,7.012468119327519,-1.9900655793089317,-0.3
10478,2022-07-06,142.4022001534019,-7.108301699092982,142.33462298966512,7.208669178538199,0.04747767079953039,0.0
10479,2022-07-07,144.71398848973547,-5.600277634556623,143.04779936476717,7.324563861038419,1.1647778800983655,0.2
10480,2022-07-08,146.0720984388696,-4.7143563530137405,143.82472051370848,7.402983866577909,1.5625811175811821,0.2
10481,2022-07-11,145.0085691917021,-5.408116968057966,144.71731394391517,7.84869384820922,0.2012580525781431,0.0
10482,2022-07-12,146.54643388313167,-4.404938205440506,145.7666896974365,7.990199175658591,0.5349261805379929,0.1
10483,2022-07-13,144.0848547866617,-6.010673668282962,146.75115585795447,7.960923768025405,-1.8168859084650546,-0.2
10484,2022-07-14,145.89733811095994,-4.828355881375413,147.6991721201487,8.203313702351158,-1.2199350770382222,-0.1
10485,2022-07-15,149.32258877985305,-2.5939988883160052,148.6969527741986,8.501781711573043,0.42074568038022014,0.0
10486,2022-07-18,148.92812764294825,-2.8513134865547993,149.61379265107283,8.669369407970828,-0.45828997178333114,-0.1
10487,2022-07-19,148.86321946849586,-2.8936543390978056,150.45913793490033,8.994957627638692,-1.0606989301606802,-0.1
